The following modules were not unloaded:
  (Use "module --force purge" to unload all):

  1) CCconfig        6)  ucx/1.14.1         11) flexiblas/3.3.1
  2) gentoo/2023     7)  libfabric/1.18.0   12) imkl/2023.2.0
  3) gcccore/.12.3   8)  pmix/4.2.4         13) StdEnv/2023
  4) gcc/12.3        9)  ucc/1.2.0
  5) hwloc/2.9.1     10) openmpi/4.1.5
/project/6086407/nileb3/QRNN-MPC/New Files July 23/icem/pytorch_icem/icem.py:69: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.sigma = torch.tensor(self.sigma).to(device=self.device)
bootstrapping finished 

total_reward  73.89533689896486 

total_reward  -99.64941815180856 

total_reward  -99.9999999999986 

total_reward  -99.55158454343419 

total_reward  -99.89579327566355 

total_reward  -99.9999999999986 

total_reward  72.41921100877332 

total_reward  26.129304304273944 

total_reward  73.5879987431068 

total_reward  77.10547337864116 

total_reward  84.00000000000004 

total_reward  84.53291645621954 

total_reward  -97.29441058332424 

total_reward  18.869346236345592 

total_reward  -99.60147465451783 

total_reward  -99.9999999999986 

total_reward  94.07464832988225 

total_reward  93.22213944741245 

total_reward  93.89728903578579 

total_reward  79.78418478785062 

total_reward  93.58553307253725 

total_reward  86.35989885261726 

total_reward  61.53360210896797 

total_reward  73.58957255561955 

total_reward  80.30377611778533 

total_reward  82.74856819296664 

total_reward  68.50512758432524 

total_reward  55.6424468605558 

total_reward  84.59049916589966 

total_reward  87.70000000000003 

total_reward  71.83483957449305 

total_reward  89.53764778843681 

total_reward  76.01293980811658 

total_reward  61.319416222447316 

total_reward  73.7798738221141 

total_reward  67.58147005655402 

total_reward  80.60053460878949 

total_reward  83.27361505990704 

total_reward  93.34588453543158 

total_reward  88.2520823116246 

total_reward  86.68187551899138 

total_reward  90.92936448513619 

total_reward  92.67699720408928 

total_reward  91.93243632633096 

total_reward  45.3758880874784 

total_reward  78.09353532838253 

total_reward  91.73258292152241 

total_reward  84.61421753764506 

total_reward  79.60809387855153 

total_reward  82.12455701614803 

total_reward  89.90909687679839 

total_reward  87.4301711228571 

total_reward  57.252596986984656 

total_reward  91.72870535181536 

total_reward  -98.84834793793932 

total_reward  -99.9999999999986 

total_reward  -99.72858881944946 

total_reward  58.46504740581106 

total_reward  44.266943382994896 

total_reward  42.489638349608974 

total_reward  78.33919861098234 

total_reward  71.15000205563635 

total_reward  63.2677279346209 

total_reward  67.26356926446786 

total_reward  73.50243974983843 

total_reward  85.24037036182465 

total_reward  73.68410379290256 

total_reward  93.05400041960579 

total_reward  91.33020983551441 

total_reward  61.856659754612295 

total_reward  86.58488216365798 

total_reward  92.56354991570856 

total_reward  90.71919314172304 

total_reward  82.94285920274194 

total_reward  81.89015518374224 

total_reward  82.52189040927931 

total_reward  86.56645368654026 

total_reward  84.92040480903285 

total_reward  90.025427245223 

total_reward  83.83269241273224 

total_reward  75.6206966550744 

total_reward  79.04150490968264 

total_reward  88.03555035987402 

total_reward  83.03041995233696 

total_reward  85.11090838834197 

total_reward  84.9955726419557 

total_reward  71.09151695393452 

total_reward  -99.19451740448926 

total_reward  -98.94059623062104 

total_reward  -99.4596346724625 

total_reward  -98.33962014657791 

total_reward  -99.17042450967557 

total_reward  -97.10479859676784 

total_reward  76.78166283634914 

total_reward  53.81818271318297 

total_reward  89.07919348827699 

total_reward  42.048681421976816 

total_reward  80.99699729593412 

total_reward  88.93548907675762 

total_reward  88.92243778868676 

total_reward  80.26984241835603 

total_reward  90.69259526585196 

total_reward  62.693694064746715 

total_reward  84.4729777082638 

total_reward  56.59307278059662 

total_reward  91.81642909468505 

total_reward  89.74635648346893 

total_reward  56.267299021495376 

total_reward  -96.94651625898989 

total_reward  -95.19597847746098 

total_reward  68.40365334338688 

total_reward  -94.38207413822308 

total_reward  -96.99378667675504 

total_reward  -95.99623011889965 

total_reward  -95.83688978213132 

total_reward  27.579787861338872 

total_reward  56.542650539416066 

total_reward  -95.00333179921721 

total_reward  45.538161264166334 

total_reward  76.73199977667272 

total_reward  68.9044418830347 

total_reward  72.7764388116284 

total_reward  68.72221270201634 

total_reward  80.5448324367162 

total_reward  75.27450816541325 

total_reward  69.52292819304712 

total_reward  75.65190150402015 

total_reward  85.23852335206146 

total_reward  74.91683355205488 

total_reward  85.74711479097124 

total_reward  83.53599157326262 

total_reward  60.40335491653066 

total_reward  69.8993224258237 

total_reward  74.1944063646907 

total_reward  81.57916250112297 

total_reward  80.81050543437851 

total_reward  81.54190285314597 

total_reward  86.60246159192322 

total_reward  75.7475599897811 

total_reward  76.44573729087693 

total_reward  57.38159628286578 

total_reward  67.23266618492507 

total_reward  84.52653562007339 

total_reward  78.70668417685224 

total_reward  80.72298211847951 

total_reward  74.52075027425408 

total_reward  69.47985797315229 

total_reward  67.72946897024406 

total_reward  72.0876858305525 

